City,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Country,Lat,Lng
Essen,63.61,20.98,43.63,47.32,65.81,81.89,Germany,51.4556432,7.0115552
Albuquerque,63.44,33.91,49.6,64.6,64.07,122.44,United States,35.0843859,-106.650422
Aberdeen,63.4,23.06,44.49,47.87,77.47,102.02,United Kingdom,57.1498891,-2.0937528
Lexington,62.92,29.27,47.15,69.21,55.65,102.4,United States,38.0405837,-84.5037164
Leipzig,62.83,23.29,44.3,47.91,55.86,79.8,Germany,51.3396955,12.3730747
San Antonio,62.59,38.27,51.19,57.25,69.45,137.67,United States,29.4251905,-98.4945922
Bari,62.59,18.14,41.75,53.28,65.58,64.98,Italy,41.1171432,16.8718715
Dresden,62.46,21.21,43.12,47.74,58.64,109.14,Germany,51.0504088,13.7372621
Tulsa,62.35,28.92,46.68,58.89,60.48,132.05,United States,36.1539816,-95.99277500000001
Naples,62.35,21.37,43.14,53.19,59.26,56.2,Italy,40.8517983,14.26812
Memphis,62.29,34.91,49.45,58.08,69.54,109.95,United States,35.1495343,-90.0489801
Bremen,62.24,23.82,44.23,48.69,61.63,77.06,Germany,53.07929619999999,8.8016937
Akron,62.2,22.9,43.78,63.55,55.56,102.89,United States,41.0814447,-81.51900529999999
Kingston upon Hull,62.07,21.79,43.19,52.73,63.89,86.57,United Kingdom,53.76762360000001,-0.3274198
Aachen,61.81,21.74,43.03,49.49,57.99,116.48,Germany,50.7753455,6.083886800000001
Regensburg,61.36,27.54,45.51,47.29,61.66,103.28,Germany,49.0134297,12.1016236
Little Rock,59.26,25.6,43.48,57.28,64.63,131.07,United States,34.7444618,-92.2880157
Wichita,58.92,24.26,42.67,53.08,57.42,119.24,United States,37.68717609999999,-97.33005299999999
Palermo,57.97,14.72,37.7,49.5,52.07,58.89,Italy,38.11569,13.3614868
Catania,57.35,17.53,38.68,44.63,61.39,54.62,Italy,37.5078772,15.0830304
El Paso,55.92,23.17,40.56,54.45,48.18,118.77,United States,31.7618778,-106.4850217
Moscow,42.2,28.04,35.56,33.38,44.85,49.56,Russia,55.755826,37.6173
Saint Petersburg,37.81,17.14,28.12,32.33,36.46,40.77,Russia,59.9310584,30.3609097
Kazan,34.02,12.9,24.12,29.65,32.69,33.45,Russia,55.7878944,49.12332929999999
Nizhny Novgorod,33.89,9.92,22.65,27.35,35.03,34.95,Russia,56.3268684,44.0058793
Yekaterinburg,33.23,10.91,22.77,29.47,27.76,57.77,Russia,56.8430993,60.64540859999999
Krasnodar,32.65,9.79,21.94,28.05,33.82,36.59,Russia,45.036035,38.97457060000001
Novosibirsk,32.26,9.98,21.81,28.73,31.27,38.35,Russia,54.9832693,82.8963831
Rostov-na-donu,32.1,8.69,21.13,26.56,30.09,36.94,Russia,47.2357137,39.701505
